Date,Total_Likes,Total_Follows,Prediction,Index
4/27/18,82161,82569,82161,1
4/28/18,82171,82580,82171,2
4/29/18,82171,82580,82171,3
4/30/18,82178,82587,82178,4
5/1/18,82174,82583,82174,5
5/2/18,82180,82589,82180,6
5/3/18,82188,82597,82188,7
5/4/18,82187,82597,82187,8
5/5/18,82191,82600,82191,9
5/6/18,82196,82605,82196,10
5/7/18,82195,82604,82195,11
5/8/18,82195,82604,82195,12
5/9/18,82196,82606,82196,13
5/10/18,82201,82610,82201,14
5/11/18,82212,82621,82212,15
5/12/18,82219,82628,82219,16
5/13/18,82224,82633,82224,17
5/14/18,82240,82651,82240,18
5/15/18,82243,82654,82243,19
5/16/18,82248,82659,82248,20
5/17/18,82252,82662,82252,21
5/18/18,82254,82666,82254,22
5/19/18,82259,82673,82259,23
5/20/18,82256,82670,82256,24
5/21/18,82260,82677,82260,25
5/22/18,82262,82677,82262,26
5/23/18,82265,82680,82265,27
5/24/18,82276,82693,82276,28
5/25/18,82287,82704,82287,29
5/26/18,82283,82701,82283,30
5/27/18,82289,82707,82289,31
5/28/18,82293,82713,82293,32
5/29/18,82299,82720,82299,33
5/30/18,82305,82727,82305,34
5/31/18,82330,82753,82330,35
6/1/18,82347,82770,82347,36
6/2/18,82366,82789,82366,37
6/3/18,82399,82822,82399,38
6/4/18,82432,82856,82432,39
6/5/18,82444,82869,82444,40
6/6/18,82450,82877,82450,41
6/7/18,82447,82874,82447,42
6/8/18,82451,82878,82451,43
6/9/18,82451,82878,82451,44
6/10/18,82457,82884,82457,45
6/11/18,82472,82900,82472,46
6/12/18,82492,82921,82492,47
6/13/18,82507,82936,82507,48
6/14/18,82506,82936,82506,49
6/15/18,82511,82940,82511,50
6/16/18,82520,82949,82520,51
6/17/18,82524,82951,82524,52
6/18/18,82518,82947,82518,53
6/19/18,82527,82956,82527,54
6/20/18,82531,82961,82531,55
6/21/18,82544,82975,82544,56
6/22/18,82544,82975,82544,57
6/23/18,82544,82976,82544,58
6/24/18,82558,82989,82558,59
6/25/18,82565,83003,82565,60
6/26/18,82593,83028,82593,61
6/27/18,82618,83054,82618,62
6/28/18,82619,83055,82619,63
6/29/18,82625,83061,82625,64
6/30/18,82626,83062,82626,65
7/1/18,82626,83062,82626,66
7/2/18,82631,83067,82631,67
7/3/18,82641,83077,82641,68
7/4/18,82649,83084,82649,69
7/5/18,82656,83092,82656,70
7/6/18,82652,83088,82652,71
7/7/18,82673,83110,82673,72
7/8/18,82683,83120,82683,73
7/9/18,82685,83122,82685,74
7/10/18,82684,83121,82684,75
7/11/18,82686,83123,82686,76
7/12/18,82685,83122,82685,77
7/13/18,82775,83211,82775,78
7/14/18,82770,83206,82770,79
7/15/18,82774,83210,82774,80
7/16/18,82778,83214,82778,81
