Date,Total_Likes,Total_Follows
4/27/18,82161,82569
4/28/18,82171,82580
4/29/18,82171,82580
4/30/18,82178,82587
5/1/18,82174,82583
5/2/18,82180,82589
5/3/18,82188,82597
5/4/18,82187,82597
5/5/18,82191,82600
5/6/18,82196,82605
5/7/18,82195,82604
5/8/18,82195,82604
5/9/18,82196,82606
5/10/18,82201,82610
5/11/18,82212,82621
5/12/18,82219,82628
5/13/18,82224,82633
5/14/18,82240,82651
5/15/18,82243,82654
5/16/18,82248,82659
5/17/18,82252,82662
5/18/18,82254,82666
5/19/18,82259,82673
5/20/18,82256,82670
5/21/18,82260,82677
5/22/18,82262,82677
5/23/18,82265,82680
5/24/18,82276,82693
5/25/18,82287,82704
5/26/18,82283,82701
5/27/18,82289,82707
5/28/18,82293,82713
5/29/18,82299,82720
5/30/18,82305,82727
5/31/18,82330,82753
6/1/18,82347,82770
6/2/18,82366,82789
6/3/18,82399,82822
6/4/18,82432,82856
6/5/18,82444,82869
6/6/18,82450,82877
6/7/18,82447,82874
6/8/18,82451,82878
6/9/18,82451,82878
6/10/18,82457,82884
6/11/18,82472,82900
6/12/18,82492,82921
6/13/18,82507,82936
6/14/18,82506,82936
6/15/18,82511,82940
6/16/18,82520,82949
6/17/18,82524,82951
6/18/18,82518,82947
6/19/18,82527,82956
6/20/18,82531,82961
6/21/18,82544,82975
6/22/18,82544,82975
6/23/18,82544,82976
6/24/18,82558,82989
6/25/18,82565,83003
6/26/18,82593,83028
6/27/18,82618,83054
6/28/18,82619,83055
6/29/18,82625,83061
6/30/18,82626,83062
7/1/18,82626,83062
7/2/18,82631,83067
7/3/18,82641,83077
7/4/18,82649,83084
7/5/18,82656,83092
7/6/18,82652,83088
7/7/18,82673,83110
7/8/18,82683,83120
7/9/18,82685,83122
7/10/18,82684,83121
7/11/18,82686,83123
7/12/18,82685,83122
7/13/18,82775,83211
7/14/18,82770,83206
7/15/18,82774,83210
7/16/18,82778,83214
7/17/18,82785,83221
7/18/18,82792,83228
7/19/18,82793,83229
7/20/18,82796,83231
7/21/18,82801,83236
7/22/18,82813,83248
7/23/18,82823,83258
7/24/18,82845,83281
7/25/18,82837,83273
7/26/18,82849,83286
7/27/18,82844,83281
7/28/18,82840,83278
7/29/18,82842,83281
7/30/18,82846,83287
